Symbol,Security Name,MIC Type,Instrument Class,Market Tier,Financial Status,Round Lot Size
AAAP,Pacer Barings CLO Market Flex ETF,etf,ETF,Nasdaq Global Market,N,100
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,D,100
AACBR,Artius II Acquisition Inc. - Rights,stock,Right,Nasdaq Global Market,N,100
AACBU,Artius II Acquisition Inc. - Units,stock,Unit,Nasdaq Global Market,N,100
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",stock,Depositary Share,Nasdaq Capital Market,N,100
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,N,100
AACIU,Armada Acquisition Corp. III - Units,stock,Unit,Nasdaq Global Market,N,100
AACIW,Armada Acquisition Corp. III - Warrant,stock,Warrant,Nasdaq Global Market,N,100
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,N,100
AACOU,Abony Acquisition Corp. I - Units,stock,Unit,Nasdaq Global Market,N,100
AACOW,Abony Acquisition Corp. I - Warrants,stock,Warrant,Nasdaq Global Market,N,100
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
AACPR,Apogee Acquisition Corp - Rights,stock,Right,Nasdaq Global Market,N,100
AACPU,Apogee Acquisition Corp - Units,stock,Unit,Nasdaq Global Market,N,100
AACPW,Apogee Acquisition Corp - Warrant,stock,Warrant,Nasdaq Global Market,N,100
AADR,AdvisorShares Dorsey Wright ADR ETF,etf,ETF,Nasdaq Global Market,N,100
AAEQ,Alpha Architect US Equity 2 ETF,etf,ETF,Nasdaq Global Market,N,100
AAL,"American Airlines Group, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AALG,Leverage Shares 2X Long AAL Daily ETF,etf,ETF,Nasdaq Global Market,N,100
AAME,Atlantic American Corporation - Common Stock,stock,Common Stock,Nasdaq Global Market,E,100
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AAON,"AAON, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AAPB,GraniteShares 2x Long AAPL Daily ETF,etf,ETF,Nasdaq Global Market,N,100
AAPD,Direxion Daily AAPL Bear 1X ETF,etf,ETF,Nasdaq Global Market,N,100
AAPG,Ascentage Pharma Group International - American Depository Shares,stock,Nasdaq Listed Security,Nasdaq Global Market,N,100
AAPL,Apple Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,40
AAPU,Direxion Daily AAPL Bull 2X ETF,etf,ETF,Nasdaq Global Market,N,100
AARD,"Aardvark Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AAUB,Alpha Architect US Equity 4 ETF,etf,ETF,Nasdaq Global Market,N,100
AAUS,Alpha Architect US Equity ETF,etf,ETF,Nasdaq Global Market,N,100
AAVM,Alpha Architect Global Factor Equity ETF,etf,ETF,Nasdaq Global Market,N,100
AAXJ,iShares MSCI All Country Asia ex Japan ETF,etf,ETF,Nasdaq Global Market,N,100
ABAT,American Battery Technology Company - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ABCL,AbCellera Biologics Inc. - Common Shares,stock,Common Stock,Nasdaq Global Select Market,N,100
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,etf,ETF,Nasdaq Global Market,N,100
ABEO,Abeona Therapeutics Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ABI,VictoryShares Pioneer Asset-Based Income ETF,etf,ETF,Nasdaq Global Market,N,100
ABIG,Argent Large Cap ETF,etf,ETF,Nasdaq Global Market,N,100
ABLV,Able View Global Inc. - Class B Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
ABLVW,Able View Global Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
ABNB,"Airbnb, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ABSI,Absci Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ABTC,American Bitcoin Corp. - Class A Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ABTS,Abits Group Inc - Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
ABUS,Arbutus Biopharma Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ABVC,"ABVC BioPharma, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ABVX,Abivax SA - American Depositary Shares,stock,Depositary Share,Nasdaq Global Market,N,100
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ACAAU,Averin Capital Acquisition Corp. - Units,stock,Unit,Nasdaq Global Market,N,100
ACAAW,Averin Capital Acquisition Corp. - Warrants,stock,Warrant,Nasdaq Global Market,N,100
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ACB,Aurora Cannabis Inc. - Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
ACDC,ProFrac Holding Corp. - Class A Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ACEP,ARS Core Equity Portfolio ETF,etf,ETF,Nasdaq Global Market,N,100
ACET,"Adicet Bio, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ACFN,"Acorn Energy, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ACGCU,ACP Holdings Acquisition Corp. - Units,stock,Unit,Nasdaq Global Market,N,100
ACGCW,ACP Holdings Acquisition Corp. - Warrants,stock,Warrant,Nasdaq Global Market,N,100
ACGL,Arch Capital Group Ltd. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",stock,Preferred,Nasdaq Global Select Market,N,100
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",stock,Preferred,Nasdaq Global Select Market,N,100
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",stock,Common Stock,Nasdaq Capital Market,N,100
ACIC,American Coastal Insurance Corporation - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ACIU,AC Immune SA - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
ACIW,"ACI Worldwide, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ACLS,"Axcelis Technologies, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ACMR,"ACM Research, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
ACNB,ACNB Corporation - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ACNT,Ascent Industries Co. - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
ACOG,Alpha Cognition Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ACON,"Aclarion, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ACONW,"Aclarion, Inc. - Warrant",stock,Warrant,Nasdaq Capital Market,N,100
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
ACT,"Enact Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ACTG,Acacia Research Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ACTU,"Actuate Therapeutics, Inc. - Common stock",stock,Common Stock,Nasdaq Global Market,D,100
ACWI,iShares MSCI ACWI ETF,etf,ETF,Nasdaq Global Market,N,100
ACWX,iShares MSCI ACWI ex U.S. ETF,etf,ETF,Nasdaq Global Market,N,100
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ADACU,American Drive Acquisition Company - Units,stock,Unit,Nasdaq Global Market,N,100
ADACW,American Drive Acquisition Company - Warrant,stock,Warrant,Nasdaq Global Market,N,100
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",stock,Ordinary Share,Nasdaq Global Market,N,100
ADAM,"Adamas Trust, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",stock,Note,Nasdaq Global Select Market,N,100
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",stock,Note,Nasdaq Global Market,N,100
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",stock,Note,Nasdaq Global Select Market,N,100
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",stock,Preferred,Nasdaq Global Select Market,N,100
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",stock,Note,Nasdaq Global Select Market,N,100
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",stock,Preferred,Nasdaq Global Select Market,N,100
ADBE,Adobe Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,40
ADBG,Leverage Shares 2X Long ADBE Daily ETF,etf,ETF,Nasdaq Global Market,N,100
ADEA,Adeia Inc.  - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ADGM,"Adagio Medical Holdings, Inc - Common Stock",stock,Common Stock,Nasdaq Capital Market,D,100
ADI,"Analog Devices, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,40
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ADMA,ADMA Biologics Inc - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
ADP,"Automatic Data Processing, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ADPT,Adaptive Biotechnologies Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
ADSEW,ADS-TEC ENERGY PLC - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
ADSK,"Autodesk, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ADTN,"ADTRAN Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ADUR,Aduro Clean Technologies Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ADUS,Addus HomeCare Corporation - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ADV,Advantage Solutions Inc.  - Class A Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ADVB,Advanced Biomed Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ADXN,Addex Therapeutics Ltd - American Depositary Shares,stock,Depositary Share,Nasdaq Capital Market,N,100
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,N,100
AEAQU,Activate Energy Acquisition Corp. - Unit,stock,Unit,Nasdaq Global Market,N,100
AEAQW,Activate Energy Acquisition Corp. - Warrant,stock,Warrant,Nasdaq Global Market,N,100
AEBI,Aebi Schmidt Holding AG - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
AEC,Anfield Energy Inc. - Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
AEHR,Aehr Test Systems - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AEI,Alset Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AEIS,"Advanced Energy Industries, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,40
AEMD,"Aethlon Medical, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AENT,Alliance Entertainment Holding Corporation - common stock,stock,Common Stock,Nasdaq Capital Market,N,100
AENTW,Alliance Entertainment Holding Corporation - Warrants,stock,Warrant,Nasdaq Capital Market,N,100
AEP,"American Electric Power Company, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",stock,Ordinary Share,Nasdaq Capital Market,N,100
AERTW,"Aeries Technology, Inc. - Warrant",stock,Warrant,Nasdaq Capital Market,N,100
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
AESPR,Aeon Acquisition I Corp. - Rights,stock,Right,Nasdaq Global Market,N,100
AESPU,Aeon Acquisition I Corp. - Units,stock,Unit,Nasdaq Global Market,N,100
AESPW,Aeon Acquisition I Corp. - Warrants,stock,Warrant,Nasdaq Global Market,N,100
AEVA,"Aeva Technologies, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AEYE,"AudioEye, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AFCG,Advanced Flower Capital Inc. - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",stock,Ordinary Share,Nasdaq Global Market,N,100
AFJKR,"Aimei Health Technology Co., Ltd - Right",stock,Right,Nasdaq Global Market,N,100
AFJKU,"Aimei Health Technology Co., Ltd - Unit",stock,Unit,Nasdaq Global Market,N,100
AFOS,ARS Focused Opportunity Strategy ETF,etf,ETF,Nasdaq Global Market,N,100
AFRI,Forafric Global PLC - Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
AFRIW,Forafric Global PLC - Warrants,stock,Warrant,Nasdaq Capital Market,N,100
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AFSC,abrdn Focused U.S. Small Cap Active ETF,etf,ETF,Nasdaq Global Market,N,100
AFYA,Afya Limited - Class A Common Shares,stock,Common Stock,Nasdaq Global Select Market,N,100
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Capital Market,N,100
AGEM,abrdn Emerging Markets Dividend Active ETF,etf,ETF,Nasdaq Global Market,N,100
AGEN,Agenus Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AGGA,EA Astoria Beacon Dynamic Core US Fixed Income ETF,etf,ETF,Nasdaq Global Market,N,100
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AGIX,KraneShares Public-Private AI & Technology ETF,etf,ETF,Nasdaq Global Market,N,100
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,stock,Common Stock,Nasdaq Global Select Market,N,100
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,E,100
AGMI,Themes Silver Miners ETF,etf,ETF,Nasdaq Global Market,N,100
AGNC,AGNC Investment Corp. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,stock,Preferred,Nasdaq Global Select Market,N,100
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",stock,Preferred,Nasdaq Global Select Market,N,100
AGNG,Global X Aging Population ETF,etf,ETF,Nasdaq Global Market,N,100
AGNT,"AGNT, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AGPU,Axe Compute Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AGRZ,Agroz Inc. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,H,100
AGYS,"Agilysys, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,etf,ETF,Nasdaq Global Market,N,100
AHCO,AdaptHealth Corp.  - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AHD,GraniteShares Autocallable HOOD ETF,etf,ETF,Nasdaq Global Market,N,100
AHG,Akso Health Group - American Depositary Shares,stock,Depositary Share,Nasdaq Capital Market,N,100
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
AIA,iShares Asia 50 ETF,etf,ETF,Nasdaq Global Market,N,100
AIAI,AIAI Holdings Corporation - Class A common stock,stock,Common Stock,Nasdaq Global Market,N,100
AIBZ,Bitzero Holdings Inc. - Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
AIDX,"20/20 Biolabs, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,D,100
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIFC,AI Financial Corporation - Common Stock,stock,Common Stock,Nasdaq Capital Market,D,100
AIFD,TCW Artificial Intelligence ETF,etf,ETF,Nasdaq Global Market,N,100
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIFU,AIFU Inc. - Class A Ordinary Share,stock,Ordinary Share,Nasdaq Global Select Market,N,100
AIHS,Senmiao Technology Limited - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AIIO,Robo.ai Inc. - Class B Ordinary Shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
AIIOW,Robo.ai Inc. - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
AIIR,Air Global PLC - Ordinary shares,stock,Ordinary Share,Nasdaq Capital Market,N,100
AIMD,"Ainos, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIMDW,"Ainos, Inc. - warrants",stock,Warrant,Nasdaq Capital Market,N,100
AIMS,Acuitas Small Cap Active ETF,etf,ETF,Nasdaq Global Market,N,100
AIOS,AIOS Tech Inc. - Class A Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
AIOT,"PowerFleet, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AIP,"Arteris, Inc.  - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AIPI,REX AI Equity Premium Income ETF,etf,ETF,Nasdaq Global Market,N,100
AIPO,Defiance AI & Power Infrastructure ETF,etf,ETF,Nasdaq Global Market,N,100
AIQ,Global X Artificial Intelligence & Technology ETF,etf,ETF,Nasdaq Global Market,N,100
AIRE,reAlpha Tech Corp. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AIRG,"Airgain, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
AIRJW,AirJoule Technologies Corporation - Warrant,stock,Warrant,Nasdaq Capital Market,N,100
AIRO,"AIRO Group Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AIRR,First Trust RBA American Industrial Renaissance ETF,etf,ETF,Nasdaq Global Market,N,100
AIRS,"AirSculpt Technologies, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AIRT,"Air T, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIRTP,"Air T, Inc. - Trust Preferred Securities",stock,Preferred,Nasdaq Global Market,N,100
AISP,"Airship AI Holdings, Inc - Class A Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
AISPW,"Airship AI Holdings, Inc - Warrants",stock,Warrant,Nasdaq Capital Market,N,100
AIX,Defiance US 100 Tech AI Moat ETF,etf,ETF,Nasdaq Global Market,N,100
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AIXI,XIAO-I Corporation - American Depositary Shares,stock,Depositary Share,Nasdaq Global Market,N,100
AKAM,"Akamai Technologies, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AKAN,Akanda Corp. - Common Shares,stock,Common Stock,Nasdaq Capital Market,D,100
AKBA,"Akebia Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
AKTS,"Aktis Oncology, Inc. - Common stock",stock,Common Stock,Nasdaq Global Select Market,N,100
AKTX,Akari Therapeutics Plc - American Depositary Shares,stock,Depositary Share,Nasdaq Capital Market,N,100
ALAB,"Astera Labs, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALAR,Alarum Technologies Ltd. - American Depositary Shares,stock,Depositary Share,Nasdaq Capital Market,N,100
ALBG,Leverage Shares 2X Long ALB Daily ETF,etf,ETF,Nasdaq Global Market,N,100
ALCO,"Alico, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ALDFU,Aldel Financial II Inc. - Units,stock,Unit,Nasdaq Global Market,N,100
ALDFW,Aldel Financial II Inc. - Warrants,stock,Warrant,Nasdaq Global Market,N,100
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALEC,"Alector, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ALFUU,Centurion Acquisition Corp. - Unit,stock,Unit,Nasdaq Global Market,N,100
ALFUW,Centurion Acquisition Corp. - Warrant,stock,Warrant,Nasdaq Global Market,N,100
ALGM,"Allegro MicroSystems, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALGN,"Align Technology, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALGS,"Aligos Therapeutics, Inc. - Common stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALGT,Allegiant Travel Company - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ALHC,"Alignment Healthcare, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALIL,Argent Focused Small Cap ETF,etf,ETF,Nasdaq Global Market,N,100
ALIS,Calisa Acquisition Corp - Ordinary shares,stock,Ordinary Share,Nasdaq Global Market,D,100
ALISR,Calisa Acquisition Corp - Right,stock,Right,Nasdaq Global Market,N,100
ALISU,Calisa Acquisition Corp - Units,stock,Unit,Nasdaq Global Market,N,100
ALKS,Alkermes plc - Ordinary Shares,stock,Ordinary Share,Nasdaq Global Select Market,N,100
ALKT,"Alkami Technology, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALLO,"Allogene Therapeutics, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALLR,"Allarity Therapeutics, Inc. - Common stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALLT,Allot Ltd. - Ordinary Shares,stock,Ordinary Share,Nasdaq Global Select Market,N,100
ALLW,State Street Bridgewater All Weather ETF,etf,ETF,Nasdaq Global Market,N,100
ALM,Almonty Industries Inc. - Common Shares,stock,Common Stock,Nasdaq Capital Market,N,100
ALMR,"Alamar Biosciences, Inc. - Class A common stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALMS,Alumis Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ALMU,"Aeluma, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALNT,Allient Inc. - Common Stock,stock,Common Stock,Nasdaq Global Market,N,100
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,40
ALOT,"AstroNova, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",stock,Ordinary Share,Nasdaq Global Market,N,100
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",stock,Unit,Nasdaq Global Market,N,100
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Warrants",stock,Warrant,Nasdaq Global Market,N,100
ALOY,REalloys Inc. - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ALP,Alpha Compute Corp  - Common Stock,stock,Common Stock,Nasdaq Capital Market,D,100
ALPS,ALPS Group Inc - Ordinary Share,stock,Ordinary Share,Nasdaq Global Market,D,100
ALPX,Alpex Acquisition Corporation - Class A Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ALPXR,Alpex Acquisition Corporation - Rights,stock,Right,Nasdaq Global Market,N,100
ALPXU,Alpex Acquisition Corporation - Units,stock,Unit,Nasdaq Global Market,N,100
ALPXW,Alpex Acquisition Corporation - Warrants,stock,Warrant,Nasdaq Global Market,N,100
ALRM,"Alarm.com Holdings, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Select Market,N,100
ALRS,Alerus Financial Corporation - Common Stock,stock,Common Stock,Nasdaq Capital Market,N,100
ALT,"Altimmune, Inc. - Common Stock",stock,Common Stock,Nasdaq Global Market,N,100
ALTI,"AlTi Global, Inc. - Class A Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALTO,"Alto Ingredients, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,N,100
ALTY,Global X Alternative Income ETF,etf,ETF,Nasdaq Global Market,N,100
ALVO,Alvotech - Ordinary Shares,stock,Ordinary Share,Nasdaq Global Market,N,100
ALVOW,Alvotech - Warrant,stock,Warrant,Nasdaq Global Market,N,100
ALXO,ALX Oncology Holdings Inc. - Common Stock,stock,Common Stock,Nasdaq Global Select Market,N,100
ALZN,"Alzamend Neuro, Inc. - Common Stock",stock,Common Stock,Nasdaq Capital Market,D,100
AMA,Defiance Daily Target 2X Long AMAT ETF,etf,ETF,Nasdaq Global Market,N,100
